,Improved operation scenario,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0
,Volume servers in:,2007,2008,2009,2010,2011
0,Server closets,"1,505","1,580","1,643","1,673","1,689"
1,Server rooms,"1,512","1,586","1,646","1,677","1,693"
2,Localized data centers,"1,512","1,586","1,646","1,677","1,693"
3,Mid-tier data centers,"1,512","1,586","1,646","1,677","1,693"
4,Enterprise-class data centers,"1,512","1,586","1,646","1,677","1,693"
5,Best practice scenario,,,,,
6,Volume servers in:,2007,2008,2009,2010,2011
7,Server closets,"1,456","1,439","1,386","1,296","1,326"
8,Server rooms,"1,465","1,472","1,427","1,334","1,371"
9,Localized data centers,"1,465","1,471","1,426","1,334","1,371"
10,Mid-tier data centers,"1,465","1,471","1,426","1,334","1,371"
11,Enterprise-class data centers,"1,465","1,471","1,426","1,334","1,371"
12,State-of-the-art scenario,,,,,
13,Volume servers in:,2007,2008,2009,2010,2011
14,Server closets,"1,485","1,471","1,424","1,315","1,349"
15,Server rooms,"1,495","1,573","1,586","1,424","1,485"
16,Localized data centers,"1,495","1,572","1,585","1,424","1,485"
17,Mid-tier data centers,"1,495","1,572","1,585","1,424","1,485"
18,Enterprise-class data centers,"1,495","1,572","1,585","1,424","1,485"
